iter	RMSE
166	0.6457778527
167	0.6448335824
168	0.6441804521
169	0.6431092533
170	0.6426492161
171	0.6397102054
172	0.6391707868
173	0.6379523369
174	0.6364504175
175	0.6348340978
176	0.6337686532
177	0.6329109475
178	0.6310089369
179	0.6301798118
180	0.6279275897
181	0.6273663394
182	0.626249023
183	0.624545714
184	0.6222907729
185	0.6216706288
186	0.6210256398
187	0.6191640914
188	0.6179520289
189	0.6169555463
190	0.615908676
191	0.6145180618
192	0.6121494063
193	0.6115526333
194	0.6105914605
195	0.609324838
196	0.6082538793
197	0.6079379755
198	0.6056494919
199	0.6044657557
200	0.6037883912
201	0.6024982959
202	0.6015454069
203	0.599210593
204	0.5976390733
205	0.5966207904
206	0.5942705206
207	0.5928253327
208	0.592288808
209	0.5905646566
210	0.5900186301
211	0.5880472559
212	0.5874633764
213	0.5870023035
214	0.5853902958
215	0.5849018219
216	0.5832227073
217	0.5822310809
218	0.5815476782
219	0.5803666515
220	0.5796226028
221	0.5788761314
222	0.5767659043
223	0.5758686048
224	0.574877793
225	0.5740362503
226	0.5736659773
227	0.5731845363
228	0.5727213986
229	0.5721851879
230	0.5706510078
231	0.5703534795
232	0.5697747963
233	0.5677452346
234	0.5667395621
235	0.5665104615
236	0.5659675859
237	0.5636028407
238	0.5631036148
239	0.5626229219
240	0.5605041035
241	0.5601296183
242	0.5571917687
243	0.5567685098
244	0.5564303731
245	0.5560380953
246	0.5554775274
247	0.5531665586
248	0.5517635314
249	0.5515245148
250	0.5512271003
251	0.5508923905
252	0.5504407279
253	0.5484543582
254	0.5482925497
255	0.5479297737
256	0.5476022099
257	0.5473099319
258	0.5468250738
259	0.5465695287
260	0.5462605292
261	0.5454813989
262	0.54510168
263	0.5428762
264	0.5409735982
265	0.540301933
266	0.5375282817
267	0.5363212249
268	0.5358565139
269	0.5344055984
270	0.5323214742
271	0.53206806
272	0.5318298669
273	0.5292837866
274	0.5280452289
275	0.5265514278
276	0.5247570479
277	0.5238100482
278	0.5234821482
279	0.5210396585
280	0.5193011221
281	0.5166093322
282	0.5154823181
283	0.5130545356
284	0.5128933064
285	0.5107674305
286	0.5095700455
287	0.5093296482
288	0.5079806896
289	0.5052288262
290	0.5042194516
291	0.5027130894
292	0.5004871352
293	0.4991301743
294	0.4977511404
295	0.4968357913
296	0.495095778
297	0.4938785806
298	0.4935132647
299	0.4914306168
300	0.4892230161
301	0.4873039544
302	0.4868499681
303	0.4866655562
304	0.4864492835
305	0.4851645534
306	0.4849713178
307	0.4823863683
308	0.4804255389
309	0.4785208565
310	0.4769200074
311	0.4752296503
312	0.4732418003
313	0.4719881536
314	0.4705970544
315	0.4697567781
316	0.4687688181
317	0.4668840224
318	0.4647814707
319	0.4643284079
320	0.4632538989
321	0.4629906718
322	0.4628125676
323	0.4621926316
324	0.4610963616
325	0.4609574952
326	0.460823042
327	0.4594529267
328	0.4587078331
329	0.4582520091
330	0.4574506169
331	0.4558449124
332	0.4540973053
333	0.4538540542
334	0.4531326176
335	0.4515867791
336	0.4500131074
337	0.4493042646
338	0.4492214631
339	0.4479981767
340	0.4472457646
341	0.4470249211
342	0.4456187002
343	0.4442127568
344	0.4434343869
345	0.4428109309
346	0.4418968282
347	0.4417064998
348	0.441611463
349	0.4413960054
350	0.4407488866
351	0.4394464307
352	0.4379618168
353	0.4373543326
354	0.4371494153
355	0.4370590132
356	0.4367007406
357	0.4361964921
358	0.434375966
359	0.4342893269
360	0.4327030364
361	0.4320086392
362	0.4315667444
363	0.4303688202
364	0.4302925217
365	0.4302178137
366	0.4301148046
367	0.4285858961
368	0.42801121
369	0.4279401861
370	0.4266102251
371	0.4251405353
372	0.4250699904
373	0.4243179593
374	0.4232585392
375	0.4221340833
376	0.4211249879
377	0.4201112742
378	0.4190661395
379	0.4178026942
380	0.4169780799
381	0.4165336801
382	0.4162340976
383	0.4145899065
384	0.4135974512
385	0.4125933091
386	0.4125275516
387	0.4115258494
388	0.4110702191
389	0.4097733602
390	0.4088894157
391	0.4087430793
392	0.4081507415
393	0.4068651932
394	0.4066511257
395	0.4065799469
396	0.4055981693
397	0.4053902893
398	0.4046379209
399	0.4042143316
400	0.4032894688
401	0.4022762079
402	0.4014801665
403	0.4001645691
404	0.3993346069
405	0.3988040575
406	0.3981088269
407	0.397099284
408	0.3968913784
409	0.3962137639
410	0.3952150776
411	0.394272995
412	0.3940095613
413	0.3932217093
414	0.3928930262
415	0.3925290859
416	0.3910158916
417	0.3908288106
418	0.39064076
419	0.3900365705
420	0.3883094164
421	0.3870852489
422	0.3862429256
423	0.3854343854
424	0.3842538728
425	0.3837449737
426	0.3835695411
427	0.3823725138
428	0.3823209783
429	0.3812280161
430	0.3806516033
431	0.3803424364
432	0.3794829556
433	0.3793083042
434	0.3784661134
435	0.3776627955
436	0.3771867313
437	0.3756299069
438	0.3751104754
439	0.3744259405
440	0.3742581866
441	0.3734142463
442	0.3720490486
443	0.3713996597
444	0.3712231529
445	0.3708768095
446	0.3707224909
447	0.3702161881
448	0.369910145
449	0.3692826477
450	0.3684762461
451	0.367858436
452	0.3674906861
453	0.3657696786
454	0.3645077806
455	0.3625798317
456	0.3616637156
457	0.3615745428
458	0.3605348912
459	0.3598266309
460	0.3590689866
461	0.3588918535
462	0.3577110199
463	0.3575676876
464	0.3569915237
465	0.3564905669
466	0.3557816375
467	0.3545692902
468	0.3541588364
469	0.3538125146
470	0.3522482935
471	0.3521561488
472	0.3514281608
473	0.3507927217
474	0.3498555273
475	0.3489406023
476	0.3482992639
477	0.3473240097
478	0.3468551574
479	0.3461344429
480	0.3457653164
481	0.3449844504
482	0.3444583768
483	0.3443163403
484	0.3438687655
485	0.343483739
486	0.3431775054
487	0.3425954312
488	0.3423460214
489	0.3417056473
490	0.3414124046
491	0.340786094
492	0.3401996458
493	0.3389158988
494	0.3382112392
495	0.3380741009
496	0.3371369445
497	0.337006817
498	0.3363569545
499	0.335768124
500	0.3354025462
501	0.3350049306
502	0.3344166534
503	0.3338505664
504	0.3331612435
505	0.3326537365
506	0.3317085072
507	0.3303330592
508	0.329977626
509	0.3291673459
510	0.3278586744
511	0.3275117431
512	0.3270403573
513	0.3261420648
514	0.3250183286
515	0.3244518153
516	0.3235973401
517	0.3232097975
518	0.3224128575
519	0.3221016412
520	0.3217745374
521	0.3208332794
522	0.3200685399
523	0.3200061514
524	0.3197754165
525	0.319200201
526	0.3185669131
527	0.3180341204
528	0.3174782994
529	0.3171701029
530	0.3168509055
531	0.3164506937
532	0.3159131296
533	0.3153114016
534	0.3152310954
535	0.3149622221
536	0.3144179493
537	0.3134185952
538	0.3133549248
539	0.3132847219
540	0.3131540535
541	0.3119293992
542	0.3112040868
543	0.3111315926
544	0.3103122782
545	0.3098010536
546	0.309637129
547	0.3091387735
548	0.3081053323
549	0.307455229
550	0.306988354
551	0.3064972039
552	0.3059879087
553	0.3056913615
554	0.3056221494
555	0.305331725
556	0.3048190672
557	0.3044282237
558	0.3043136306
559	0.3040403627
560	0.3035009581
561	0.3028964447
562	0.3016809624
563	0.3010876049
564	0.3003604408
565	0.3001946627
566	0.2998472396
567	0.2994133353
568	0.299372771
569	0.2991674388
570	0.2987006159
571	0.2977717682
572	0.2977317939
573	0.2974225242
574	0.2970981933
575	0.2966363541
576	0.2958280502
577	0.2953953007
578	0.2953337535
579	0.2949393894
580	0.2948960644
581	0.2948373955
582	0.2941084038
583	0.2937616696
584	0.29334717
585	0.2924148605
586	0.2920818248
587	0.2920515133
588	0.2914228402
589	0.2909621458
590	0.290904517
591	0.2906928875
592	0.2901893139
593	0.289243054
594	0.2888319784
595	0.28879713
596	0.2885206983
597	0.2883922883
598	0.2880140219
599	0.2876397844
600	0.2872536636
601	0.2865892272
602	0.286433696
603	0.2864045357
604	0.286351604
605	0.2859917145
606	0.2857895463
607	0.2856798124
608	0.2855299856
609	0.2851330281
610	0.2850555437
611	0.2846657398
612	0.2843950013
613	0.284030379
614	0.2835936102
615	0.2835559295
616	0.2832517928
617	0.2826583832
618	0.2822649735
619	0.2818267635
620	0.280697465
621	0.2804970334
622	0.2801938394
623	0.2798800257
624	0.2795402588
625	0.2791902587
626	0.2788753612
627	0.2774727505
628	0.2771651888
629	0.2769110001
630	0.2764897048
631	0.2762724695
632	0.2759782092
633	0.2758399329
634	0.2756203538
635	0.2752869283
636	0.2752600756
637	0.2750791058
638	0.2742107039
639	0.272897373
640	0.27250107
641	0.2721168151
642	0.2715711039
643	0.2714425382
644	0.271062122
645	0.2707302927
646	0.2702478122
647	0.2694853286
648	0.269455045
649	0.2691878558
650	0.2691191737
651	0.268998033
652	0.2685200663
653	0.268258331
654	0.2679379084
655	0.2677569117
656	0.2674298309
657	0.2668900079
658	0.2665948568
659	0.2663944076
660	0.2660397669
661	0.2659624843
662	0.265395713
663	0.2650363756
664	0.2648428002
665	0.2648142727
666	0.2644781114
667	0.2644503202
668	0.2642119065
669	0.2639886924
670	0.26364732
671	0.2634513751
672	0.2627445897
673	0.2625178713
674	0.2619510191
675	0.2615714976
676	0.261371979
677	0.2611248124
678	0.2609087708
679	0.2606089343
680	0.2604935454
681	0.2599576221
682	0.2595578119
683	0.2590701062
684	0.2590406565
685	0.2582533322
686	0.2579100914
687	0.2577848263
688	0.2575205008
689	0.2573197237
690	0.2572994378
691	0.256966281
692	0.2567028143
693	0.2565568145
694	0.2565292345
695	0.2561922268
696	0.2557350508
697	0.2555708602
698	0.2550302215
699	0.2545496452
700	0.2545222544
701	0.25445349
702	0.2539950501
703	0.2538166919
704	0.2535086186
705	0.2529499235
706	0.2528062193
707	0.2526660479
708	0.2521888674
709	0.2518560099
710	0.2515781326
711	0.2511129252
712	0.2508403078
713	0.2507110751
714	0.2506830236
715	0.250457509
716	0.2504342003
717	0.2504133613
718	0.2497800629
719	0.2495153086
720	0.2485040483
721	0.2480884647
722	0.2480709008
723	0.2477420515
724	0.2473202707
725	0.2471086625
726	0.2466364609
727	0.2465052439
728	0.2462580357
729	0.2457570166
730	0.2454544963
731	0.2453630033
732	0.2447043291
733	0.244532503
734	0.2442186966
735	0.2436569201
736	0.2435104471
737	0.2434042716
738	0.2433808048
739	0.2431206962
740	0.2429960282
741	0.2425934233
742	0.2424630528
743	0.242132858
744	0.241704576
745	0.2416823021
746	0.2411720524
747	0.2408268701
748	0.2402545616
749	0.2401130722
750	0.2399434264
751	0.2398224665
752	0.2394676376
753	0.2390948953
754	0.2389870772
755	0.238950854
756	0.2385656422
757	0.2385405434
758	0.2382451242
759	0.2378328273
760	0.2376223515
761	0.2374762825
762	0.236906508
763	0.2368874403
764	0.2363919458
765	0.2360462334
766	0.235649195
767	0.235484647
768	0.2352716069
769	0.2348728523
770	0.2347666938
771	0.2345778448
772	0.2344306827
773	0.2341340954
774	0.2340513567
775	0.2340275873
776	0.2339183827
777	0.2336307057
778	0.2335109458
779	0.2332273681
780	0.2329174046
781	0.2326611929
782	0.2320954451
783	0.2319781796
784	0.2319614141
785	0.2318508701
786	0.2317158591
787	0.231535529
788	0.2310845032
789	0.2307318761
790	0.2304699737
791	0.2303447138
792	0.2302204787
793	0.2300171593
794	0.2298030941
795	0.2296183775
796	0.228965026
797	0.2289310305
798	0.2288463123
799	0.2287312281
800	0.2285118129
801	0.2281609317
802	0.2281332997
803	0.2280212081
804	0.2279970388
805	0.227650502
806	0.2273845915
807	0.2271237037
808	0.2268008338
809	0.2263107941
810	0.2257598561
811	0.2256202649
812	0.2253687425
813	0.2253168262
814	0.2249158921
815	0.2246628741
816	0.2244984615
817	0.2242340528
818	0.2240601879
819	0.223544138
820	0.2230988541
821	0.2229981136
822	0.2227664899
823	0.2227433602
824	0.2226551713
825	0.2223720244
826	0.2222965968
827	0.221835882
828	0.2214711281
829	0.2212885075
830	0.2208768394
831	0.220725338
832	0.2204174599
833	0.2201728883
834	0.2200202139
835	0.2197517854
836	0.2193221223
837	0.2190611488
838	0.2188664168
839	0.2187058059
840	0.2184588404
841	0.2183891068
842	0.2182227903
843	0.2179188021
844	0.2178961941
845	0.2177924209
846	0.2176963471
847	0.2171711752
848	0.2170766674
849	0.2168722051
850	0.2167834359
851	0.2166176092
852	0.2165632381
853	0.2162823829
854	0.2159898016
855	0.2158578686
856	0.2157823453
857	0.215703302
858	0.2156805429
859	0.2152785948
860	0.2151265174
861	0.2149870904
862	0.2149412044
863	0.2146921767
864	0.2145108462
865	0.2144109186
866	0.2140683484
867	0.2135481058
868	0.213489003
869	0.2134674279
870	0.2132231624
871	0.2131652228
872	0.2130130946
873	0.2126743204
874	0.2126543318
875	0.2124521662
876	0.2122808718
877	0.2122087001
878	0.2118585667
879	0.2117806677
880	0.2117602754
881	0.211468047
882	0.2113710796
883	0.2111767292
884	0.2109906678
885	0.2109705063
886	0.2109096688
887	0.2108893417
888	0.2107486836
889	0.2104709047
890	0.2099744672
891	0.2094642095
892	0.2093908266
893	0.2092561197
894	0.2090764005
895	0.208716258
896	0.2086662355
897	0.2085990287
898	0.2083761101
899	0.2083262776
900	0.2081328708
901	0.2081059909
902	0.2079508455
903	0.2077538042
904	0.207567806
905	0.2070569748
906	0.206601921
907	0.2065287367
908	0.206181786
909	0.2059502601
910	0.2056861705
911	0.2053224929
912	0.2051290142
913	0.2051126768
914	0.2047882226
915	0.2047769366
916	0.2045883263
917	0.2043615519
918	0.2042646064
919	0.2040276514
920	0.2034692379
921	0.2033024894
922	0.2030927753
923	0.2030753343
924	0.2028061217
925	0.2027430732
926	0.2026236343
927	0.2025585364
928	0.2022966741
929	0.2020751087
930	0.2016222603
931	0.2014678213
932	0.2013826668
933	0.2012364873
934	0.2011056388
935	0.2008737448
936	0.2005368912
937	0.2004518906
938	0.2002506681
939	0.2001783501
940	0.2000632912
941	0.1999375943
942	0.1998557046
943	0.1997580098
944	0.1996398382
945	0.1995759628
946	0.1994406086
947	0.1986913212
948	0.1986333827
949	0.1983426299
950	0.1982046292
951	0.1981268824
952	0.1979715288
953	0.1978029473
954	0.1977047252
955	0.1973643929
956	0.1973450222
957	0.1970583772
958	0.1970368513
959	0.1969615335
960	0.1968524401
961	0.1967347589
962	0.1966839144
963	0.1965490061
964	0.1965319776
965	0.1963897537
966	0.196336421
967	0.1962756568
968	0.1962332543
969	0.1961655631
970	0.1959846416
971	0.1958775301
972	0.1957987043
973	0.1956346866
974	0.1954032586
975	0.1953314567
976	0.1953131076
977	0.1952948412
978	0.1950105764
979	0.1949514857
980	0.1948046001
981	0.19453673
982	0.1944790545
983	0.1944364556
984	0.1941967223
985	0.1941771651
986	0.1938211501
987	0.1935861023
988	0.1933750062
989	0.1931287925
990	0.1927894261
991	0.1927736258
992	0.1926260359
993	0.1926054925
994	0.1925646297
995	0.1925493972
996	0.1922533402
997	0.1922365909
998	0.1920225268
999	0.191801872
