"SBETa
(m2/g)","Vbtoal(cm3/g)","Vcmicro(cm3/g)",C,H,N,O *,adb
"2,290",1.19,,,,,,
"1,714",0.83,,75.9,2.17,0.65,12.76,3.28
,71.4,3.75,3,21.12,3.84,,
,,,,,,,
,"1,957",0.79,,71.2,1.97,2.75,19.57
,,,,,,,
,"1,294",0.63,,74.48,2.42,0.39,16.6
,714,0.4,,70.85,2.43,,18.9
,,,,,,,
774,0.41,0.3,,,0.75,,3.53
,,,,,,,
"1,041",0.53,0.42,,,0.48,,4.16
"1,199",0.6,0.48,,,0.36,,3.87
"2,695",1.14,1.11,,,0.45,,3.71
,"1,713",0.73,0.73,88,1.1,0.98,
"1,893",0.79,0.78,89.7,0.8,0.79,,4.22
"1,871",0.8,0.79,90.5,0.6,0.6,,3.92
"1,473",0.6,0.57,,,3.81,,4.18
"1,913",0.78,0.74,,,2.32,,4.02
"1,698",0.7,0.62,,,2.56,,3.52
"1,123",0.47,0.43,,,4.01,,4.12
"1,976",0.86,0.77,,,3.11,,3.93
"2,356",1.26,0.86,,,1.5,,3.3
837,0.38,0.32,,,4.84,,3.61
"2,571",1.15,1.02,,,2.22,,3.39
"3,322",2.31,0.89,,,1.26,,2.04
966,0.4,,,,,,3.5
"1,004",0.43,,,,,,4.5
"1,486",0.64,,,,,,5
"1,682",0.7,,,,,,4.6
"1,944",0.81,,,,,,4
459,0.2,,,,,,3.2
"1,343",0.56,,,,,,4.7
"1,637",0.71,,,,,,4.3
"2,207",1.23,,,,,,3.5
469,,,,,,,3.07
489,,,,,,,3.3
606,,,,,,,3.4
425,,,,,,,2.8
514,,,,,,,3.25
605,,,,,,,3.45
441,,,,,,,2.99
512,,,,,,,3.37
573,,,,,,,3.48
434,,,,,,,3.01
524,,,,,,,3.42
633,,,,,,,3.73
124,,,84.82,1.56,1.3,,1.16
224.1,,,86.06,1.55,1.69,,1.18
,,80.01,1.16,1.52,,2.22,2.71
302.7,,,81.12,0.75,1.3,,1.59
,,84.98,0.2,1.59,,1.33,1.65
,,73.52,1.09,1.49,,3.16,3.82
186,,,85.04,0.48,1.12,,1.35
397.3,,,83.29,0.17,1.58,,1.59
,,86.31,0.14,0.33,,4.25,5.32
671,0.43,,,,10.55,,2.3
0.57,,,,10.02,,2.6,
0.69,,,,9.71,,2.4,
0.57,,,,7.29,,2.5,
0.85,,,,6.65,,2.5,
1.14,,,,5.68,,2.5,
"1,005",0.49,0.4,,,5.11,,3.7
910,0.44,0.36,,,7.33,,3.6
"1,239",0.61,0.48,,,6.08,,3.7
"1,500",0.74,0.53,,,5.56,,3.1
"1,830",0.91,0.42,,,5.07,,2.5
"1,448",0.71,0.55,,,7.23,,3.2
"1,423",0.71,0.53,,,8.58,,3.2
502,0.22,,85.21,5.87,2.74,,2.24
0.88,,87.21,5.03,2.94,,3.72,
0.8,,86.24,5.31,3.21,,3.39,
0.45,,86.32,5.99,2.53,,4.32,
0.79,,86.74,5.87,2.75,,3.5,
0.99,,87.02,6.01,2.97,,3.48,
0.55,,87.65,5.24,1.98,,3.94,
1.03,,88.34,5.87,2.14,,3.52,
1.11,,88.21,5.21,2.3,,3.38,
,,,,,,,
,,,,,,,
759,0.44,0.33,51.21,1.96,4.45,2.32,3.3
"1,606",0.97,0.78,71.19,2.88,4.02,1.92,2.9
"1,741",0.86,0.8,64.43,3.21,2.2,2.74,4.73
"1,636",0.74,0.68,54,3.75,2.69,2.86,5
"2,251",1.21,1.03,70.44,1.62,0.94,2.54,4.2
"3,079",1.84,1.18,80.49,1.2,2.08,2.53,3.35
"2,354",1.26,0.97,75.38,1.3,0.86,,3.04
"2,556",1.9,0.96,81.84,1.75,0.76,,2.27
"1,000",0.68,0.53,51.67,1.75,1.57,,2.37
"1,636",0.74,0.68,54,3.75,2.69,39.56,2.86
"2,354",1.26,0.97,75.38,1.3,0.86,22.46,3.08
"1,144",0.64,0.48,68.18,1.57,4.8,25.45,2.1
"1,813",1.05,0.7,80.95,0.79,1,17.26,2.14
273,0.19,0.13,46.52,1.55,9.32,42.61,1.78
481,0.27,0.24,52.01,1.92,8.75,37.32,1.83
,,,,,,,
,,,,,,,
,,,,,,,
419,0.25,0.19,54.24,3.37,3.79,,1.93
,,,,,,,
,,,,,,,
589,0.34,0.27,63.53,4.38,7.24,,2.53
,,,,,,,
,,,,,,,
,,,,,,,
802,0.47,0.37,57.6,3.45,1.52,,1.96
,,,,,,,
,,,,,,,
516,0.28,0.2,52.55,3.35,3.52,,1.7
,,,,,,,
"1,687",0.94,0.77,72.63,3.18,1.89,,3.06
"1,721",0.92,0.75,61.53,1.45,2.54,,2.15
"1,065",0.47,0.39,59.43,1.24,2.43,,2.69
0.44,66.21,0.94,3.41,,2.75,,
0.39,61.47,1.16,3.45,,2.44,,
0.25,48.26,1.77,3.39,,1.95,,
669,0.31,,71.42,3.06,3.05,,3.29
0.61,,73.24,2.99,3.26,,3.63,
0.65,,74.25,3.01,3.58,,3.18,
0.44,,76.21,3.01,2.73,,4.06,
1.14,,75.2,2.75,3.14,,4.04,
1.42,,73.58,2.8,3.35,,3.59,
0.58,,77.43,2.42,2.42,,4.5,
1.38,,76.52,2.53,2.68,,3.6,
"2,446",1.59,,76.03,2.86,3.12,,3.39
852,0.38,0.31,85.9,,3.03,10.87,4.39
"1,185",0.52,0.43,90.97,,3.35,5.54,4.8
694,0.37,0.25,88.31,,1.95,9.53,3.39
699,0.49,0.16,92.63,,1.73,5.45,2.56
586,0.31,0.19,88.52,,2.94,8.24,2.84
"2,998",1.78,1.22,,,7.5,,3.6
"3,277",1.94,1.37,,,5.5,,4.1
2.5,1.87,,,4.89,,4.7,
2.43,1.33,,,2.73,,3.2,
947,0.35,,86.59,0.94,2.76,,3.45
,87.48,0.88,2.74,,3.71,,
,91.35,0.82,1.52,,3.49,,
"1,199",0.47,,91.08,0.52,1.42,,3.07
"1,354",0.58,,88.71,0.55,1.34,,3.03
"1,329",0.56,,91.35,0.56,1.13,,2.86
"1,430",0.65,,93.24,0.65,0.86,,2.78
"1,023",0.38,,84.2,1.52,1.35,,4.1
,83.3,1.32,1.08,,4,,
"1,604",0.65,,84.2,1.53,0.81,,4.3
,82,1.34,1.23,,4.1,,
,81.3,1.22,0.91,,4.8,,
,83,1.29,0.7,,4.3,,
,84.2,1.03,0.86,,4.1,,
,86.3,0.92,0.73,,4.7,,
"1,937",0.78,,86.5,0.84,0.61,,4.44
"1,012",0.44,,75.5,0.95,8.01,,3
879,0.38,,64.2,4.02,6.16,,3.68
,70.5,3.38,4.83,,4.04,,
,69.8,3,4.31,,4.16,,
,69,2.69,3.84,,3.79,,
"1,483",0.66,,70,2.67,4.56,,4.26
,71.2,2.45,3.59,,4.22,,
,74.1,2.8,3.19,,4.1,,
,75.8,2.48,2.4,,3.72,,
,77.3,2.03,2.22,,4.22,,
,79.2,2.22,1.81,,4.09,,
"2,690",1.19,,78.3,2.46,1.7,,3.96
"2,599",1.33,,80.7,2.11,1.21,,3.44
"2,251",1.04,0.93,85.08,,9.49,5.43,5.51
"1,890",0.87,0.8,82.68,,13.9,3.42,5.63
"1,463",0.74,0.58,67.74,,9.07,23.19,3.64
"1,827",0.96,0.73,82.14,,12.61,5.25,3.73
"1,529",0.98,,,,,,
1.3,,,,,,,4.3
"3,260",2.6,,,,,,
"2,734",2.3,,,,,,
956,0.48,0.31,76.95,2.39,4.82,,3.34
0.61,0.4,83.63,2.9,4.21,,3.46,5.3
0.82,0.37,84.08,2.06,3.86,,3.46,5.25
1.02,0.26,89.43,1.41,1.78,,2.76,5.1
0.42,0.31,79.99,2.9,4.76,,3.25,4.65
0.65,0.29,78.36,2.58,4.38,,3.06,4.97
"1,675",0.96,0.06,75.76,2.51,3.67,,2.28
"2,086",1.08,0.16,91.38,1.06,2.52,,2.59
"1,216",0.53,0.35,78.46,2.21,5.34,,3.16
"1,446",0.63,0.37,81.6,2.41,4.15,,3.21
"1,952",1.11,0.04,71.34,3.4,3.15,,2.14
"2,305",1.23,0.13,79.17,2.13,1.81,,2.34
660,0.42,0.33,57.89,2.71,4.31,,2.04
0.94,0.4,56.5,2.52,4.59,,2.11,
"1,176",0.72,0.57,60.87,3.01,5.83,,2.19
"2,113",1.24,0.94,61.07,1.98,6.9,,3.51
"1,508",0.94,0.68,62.98,2.1,6.02,,3.42
"2,148",1.32,0.94,64.49,1.7,5.57,,2.98
748,0.47,0.27,83.84,0.04,1.1,15.02,2.55
697,0.46,0.25,75.15,0.05,6.5,18.3,2.92
581,0.35,0.21,67.78,1.14,11.48,19.5,3.03
"1,361.90",0.58,0.46,87.23,1.62,1.89,9.26,3.55
"1,005.40",0.41,0.34,87.42,1.32,2.37,8.89,3.75
"1,455.10",0.68,0.47,88.57,0.89,2.89,7.65,4.05
"1,248.70",0.5,0.41,89.74,0.78,2.16,7.32,2.62
"1,272.40",0.55,0.43,89.23,0.82,2.09,7.86,3.35
821,0.42,,65.54,2.14,12.17,,3.99
0.54,,64.89,2.15,11.93,,4.24,6.23
0.6,,63.54,2.16,11.67,,4.02,6.11
0.63,,62.21,2.12,11.23,,3.93,5.9
"1,734",0.78,,75.01,1.41,9.24,,4.26
0.9,,74.32,1.35,8.56,,4.23,6.14
0.96,,72.68,1.37,7.23,,4.21,6.28
0.94,,75.35,1.17,6.85,,4.07,6.11
1.13,,81.51,0.89,6.94,,3.92,6.46
1.32,,79.12,0.75,6.72,,3.71,5.73
1.4,,77.05,0.85,6.43,,3.51,5.36
1.3,,76.92,0.96,6.2,,3.42,5.24
"1,210",0.69,,74.3,,9.8,,4.18
1.35,,82.5,,6.94,,4.66,
1.43,,80.8,,6.84,,3.89,
3.09,,86.9,,2.07,,4.95,
933,0.45,,66.51,2.33,12.27,,3.43
,65.31,2.38,12.21,,3.46,4.84,
"1,170",0.53,,63.67,2.42,11.81,,3.74
,69.83,2.14,10.51,,3.69,5.45,
,70.32,1.98,9.54,,3.65,5.87,
,71.66,1.97,7.74,,3.92,6.23,
,77.7,1.56,6.57,,3.75,6.23,
,80.32,1.73,5.03,,3.56,6.16,
"2,827",1.55,,84.24,1.65,4.69,,3.61
"1,210",0.69,,74.3,,9.8,,4.18
"1,780",1.35,,82.5,,6.94,,4.66
"2,136",1.43,,80.8,,6.84,,3.89
"3,247",3.09,,86.9,,2.07,,4.95
"1,082",0.58,0.44,,,9.44,12.65,3.78
"1,793",0.87,0.73,,,8.02,10.86,5.01
"2,328",1.11,0.94,,,5.05,10.04,4.32
"2,958",1.61,1.16,,,2.73,4.47,3.36
1.89,,80.03,,0.62,19.34,2.2,
1.56,,87.1,,0.64,12.26,2.5,
1.58,,89.55,,1.1,9.35,2.6,
