SA,TPV,MPV
2053,0.97
1921,1.04
1113,0.48
2264,1.34
1824,1.03
735,0.31
936,0.39
1115,0.46
1003,0.41
787,0.33
1088,0.45
1432,0.59
1569,0.64
932,0.39
1288,0.54
1924,0.79
2155,0.94
18,0.02
982,0.62
582,0.29
1165,1.03
2693,1.68
2731,1.89
2799,1.91
667,0.29,0.28
716,0.32,0.31
718,0.33,0.31
907,0.40,0.39
935,0.42
1441,0.60
1117,0.52
1482,0.64
1408,0.67
1577,0.68
607
1072
1863,1.00
1340,0.68
1420,0.76
447,0.22,0.18
110,0.57,0.37
1352,0.78,0.54
1210,0.48,0.39
1360,0.51,0.40
1600,0.65,0.54
1630,0.66,0.56
2230,1.03,0.89
1950,0.88,0.72
1684,0.94,0.45
992,0.61,0.37
990,0.55,0.45
402,0.22,0.09
1393,0.63,0.49
1759,0.92,0.60
1229,0.89,0.15
2511,1.35,1.16
1426.1,0.83,0.56
1082,0.43
1994,0.87
1994,0.87
1230,0.90
2380,1.64
2700,1.33
514,0.21
1248,0.44
534,0.25
847,0.34
535,0.23
362,0.27
